time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-18T17:43:06.360Z,44.7478333,-110.9831667,10.63,2.8,ml,26,36,0.02001,0.22,uu,uu60270117,2018-02-18T19:55:30.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.36,0.58,0.112,4,reviewed,uu,uu
2018-02-18T17:34:17.760Z,44.7491667,-110.9818333,10.3,2.74,ml,28,36,0.02009,0.2,uu,uu60270102,2018-02-18T19:50:08.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.35,0.52,0.133,4,reviewed,uu,uu
2018-02-18T16:38:30.900Z,19.2935,-65.6501,84,3.42,md,5,334,1.0756,0.12,pr,pr2018049009,2018-02-18T20:24:05.783Z,"97km NNE of Suarez, Puerto Rico",earthquake,3.86,5.82,0.03,2,reviewed,pr,pr
2018-02-18T16:16:38.600Z,-41.0728,42.9526,10,4.8,mb,,73,8.378,0.74,us,us2000d48s,2018-02-18T17:32:00.040Z,"Prince Edward Islands region",earthquake,11.9,1.8,0.139,20,reviewed,us,us
2018-02-18T16:07:41.470Z,-21.7871,-68.5641,123.63,4.1,mb,,72,0.63,0.35,us,us2000d48j,2018-02-18T16:50:18.040Z,"84km NNE of Calama, Chile",earthquake,5.6,7.6,0.302,3,reviewed,us,us
2018-02-18T15:29:16.260Z,44.7441667,-110.998,10.22,2.76,md,25,33,0.01624,0.21,uu,uu60269997,2018-02-18T18:16:02.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.37,0.6,0.208,10,reviewed,uu,uu
2018-02-18T15:25:31.716Z,56.4566,-148.5937,8.5,2.6,ml,,,,0.65,ak,ak18449001,2018-02-18T22:09:34.313Z,"274km ESE of Kodiak, Alaska",earthquake,,4.5,,,reviewed,ak,ak
2018-02-18T15:23:53.910Z,44.7425,-110.9916667,9.62,2.63,ml,23,35,0.01974,0.22,uu,uu60269982,2018-02-18T18:24:54.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.42,0.74,0.143,4,reviewed,uu,uu
2018-02-18T15:17:17.100Z,44.7455,-110.9926667,10.24,2.91,ml,23,50,0.01684,0.22,uu,uu60269962,2018-02-18T18:18:37.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.42,0.65,0.158,5,reviewed,uu,uu
2018-02-18T15:14:30.450Z,7.6071,-78.768,10,4.5,mb,,102,1.876,0.79,us,us2000d47k,2018-02-18T16:25:34.040Z,"66km W of Jaque, Panama",earthquake,8,1.9,0.093,34,reviewed,us,us
2018-02-18T14:55:33.880Z,7.5856,-78.8312,10,5.1,mb,,54,1.859,0.84,us,us2000d47c,2018-02-18T17:32:20.779Z,"73km W of Jaque, Panama",earthquake,6.1,1.8,0.031,348,reviewed,us,us
2018-02-18T14:17:07.170Z,44.7436667,-110.9878333,10.35,2.7,ml,27,35,0.02039,0.2,uu,uu60269887,2018-02-18T14:51:28.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.37,0.51,0.336,5,reviewed,uu,uu
2018-02-18T13:49:55.080Z,44.7466667,-110.9836667,9.91,2.91,ml,29,36,0.02043,0.19,uu,uu60269872,2018-02-18T14:45:06.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.32,0.52,0.117,4,reviewed,uu,uu
2018-02-18T13:09:55.970Z,19.2243,-64.987,4,3.24,md,3,342,1.6113,0.1,pr,pr2018049007,2018-02-18T18:13:41.040Z,"112km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,8.29,7.93,0.21,3,reviewed,pr,pr
2018-02-18T12:11:24.380Z,44.4098,149.1611,41.9,4.4,mb,,180,4.726,0.59,us,us2000d46e,2018-02-18T12:25:47.040Z,"136km SE of Kuril'sk, Russia",earthquake,8,9.5,0.078,48,reviewed,us,us
2018-02-18T11:20:05.661Z,56.5997,-148.7852,0,3.3,ml,,,,0.69,ak,ak18447448,2018-02-18T11:55:17.536Z,"255km ESE of Kodiak, Alaska",earthquake,,9.1,,,automatic,ak,ak
